Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FANS,PLAYERS,MEDIA,SCORE
DeMar DeRozan,PF,31,SAS,25,25,33.4,6.6,13.4,0.488,0.6,1.9,0.333,5.9,11.5,0.514,0.512,6,6.8,0.893,0.8,4.2,5,6.9,0.8,0.3,1.6,1.8,19.8,280774,20,0,38.8
Hamidou Diallo,SG,22,OKC,28,5,24,4.7,9.8,0.48,0.4,1.4,0.289,4.3,8.5,0.511,0.5,2.7,4.1,0.661,1.1,4.3,5.4,2.5,1,0.4,1.5,2.5,12.5,4237,1,0,68.8
Gorgui Dieng,C,31,MEM,19,1,17.7,2.6,4.9,0.532,1.1,2.1,0.5,1.6,2.8,0.556,0.638,1.4,1.6,0.839,1.4,3.4,4.8,1.4,0.8,0.7,1.1,1.8,7.7,3594,2,0,84.5
Donte DiVincenzo,SG,24,MIL,28,28,26.1,3.7,8.9,0.419,2,4.9,0.401,1.8,4,0.441,0.53,0.5,0.8,0.619,1,3.4,4.5,2.8,1.2,0.2,1.2,1.5,9.9,37813,7,0,51
Luka Dončić,PG,21,DAL,27,27,35.3,10,21.1,0.475,2.4,7.2,0.335,7.6,14,0.546,0.532,6.6,8.3,0.795,0.9,7.7,8.6,9.4,1,0.7,4.2,2.2,29.1,3335042,58,30,2.5
Luguentz Dort,SG,21,OKC,27,27,29.6,4.3,10.6,0.409,1.9,5.7,0.323,2.5,4.9,0.511,0.497,2,2.6,0.746,0.7,2.8,3.5,1.4,0.9,0.3,1.5,2.5,12.5,20355,3,0,51.8
Damyean Dotson,SG,26,CLE,24,6,20.4,3,7.2,0.41,1.1,3.8,0.283,1.9,3.4,0.556,0.486,0.8,1.1,0.692,0.2,1.7,1.8,2.2,0.5,0.1,0.8,0.9,7.8,894,0,0,128.2
Sekou Doumbouya,PF,20,DET,24,1,13.1,1.5,4.3,0.353,0.4,1.6,0.256,1.1,2.6,0.413,0.402,0.7,1,0.739,0.6,1.8,2.4,0.6,0.4,0.1,0.7,1.5,4.1,2855,3,0,83.5
PJ Dozier,SG,24,DEN,17,0,19.4,2.6,5.5,0.468,0.9,2.2,0.405,1.7,3.4,0.509,0.548,1.1,1.5,0.72,0.9,3.2,4.1,1.4,0.5,0.6,0.8,1.7,7.1,833,1,0,86.8
Goran Dragić,PG,34,MIA,17,6,26.5,5.2,11.5,0.456,1.6,4.6,0.359,3.6,6.9,0.521,0.528,2.2,2.8,0.809,0.4,2.6,3.1,5.3,0.5,0.1,3,2.6,14.4,113122,4,0,49
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,0.474,0,0.3,0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5,189640,18,0,43
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,0.524,2.6,5.9,0.434,7.3,12.9,0.565,0.592,6.6,7.6,0.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29,5567106,209,97,1.5
Anthony Edwards,SG,19,MIN,29,12,28.2,5.4,14.2,0.383,1.8,5.7,0.319,3.6,8.5,0.427,0.448,1.9,2.3,0.806,0.6,3.1,3.7,2.4,0.7,0.3,1.6,1.5,14.6,10504,0,0,94
Wayne Ellington,SG,33,DET,21,18,22.9,3.7,8,0.456,2.7,6.2,0.438,1,1.9,0.513,0.624,0.6,0.8,0.75,0.3,1.6,2,1.1,0.4,0.2,0.7,1.5,10.6,3521,1,0,71.8
Joel Embiid,C,26,PHI,23,23,32.5,9.4,17.5,0.54,1.2,3,0.397,8.3,14.5,0.569,0.573,9.7,11.3,0.851,1.9,8.9,10.8,3.1,1.3,1.2,3.4,2.5,29.7,4171690,168,99,2.8
James Ennis,SF,30,ORL,20,19,21.9,2.6,5.2,0.495,0.9,1.9,0.447,1.7,3.3,0.523,0.578,1.3,1.6,0.839,1.2,2.6,3.8,1.4,1,0.3,1,2.2,7.3,2811,1,0,90.8
Drew Eubanks,C,23,SAS,11,0,12.6,1.5,3.4,0.432,0,0,0,1.5,3.4,0.432,0.432,1.1,1.5,0.75,0.6,2.7,3.4,0.4,0.1,1.4,0.5,1.3,4,1661,1,0,98.5
Derrick Favors,C,29,UTA,27,0,16.4,2.4,3.9,0.629,0,0,0,2.4,3.9,0.635,0.629,1.4,1.7,0.804,2.1,3.5,5.6,0.9,0.6,1.1,0.6,2.5,6.3,6811,1,0,83
